Best Motion Picture - Drama,Home Before Dark,1959
Best Motion Picture - Drama,I Want To Live!,1959
Best Motion Picture - Drama,Separate Tables,1959
Best Motion Picture - Drama,Cat on a Hot Tin Roof,1959
Best Performance by an Actress in a Motion Picture - Drama,Susan Hayward,1959
Best Performance by an Actress in a Motion Picture - Drama,Ingrid Bergman,1959
Best Performance by an Actress in a Motion Picture - Drama,Deborah Kerr,1959
Best Performance by an Actress in a Motion Picture - Drama,Shirley MacLaine,1959
Best Performance by an Actress in a Motion Picture - Drama,Jean Simmons,1959
Best Performance by an Actor in a Motion Picture - Drama,David Niven,1959
Best Performance by an Actor in a Motion Picture - Drama,Tony Curtis,1959
Best Performance by an Actor in a Motion Picture - Drama,Sidney Poitier,1959
Best Performance by an Actor in a Motion Picture - Drama,Robert Donat,1959
Best Performance by an Actor in a Motion Picture - Drama,Spencer Tracy,1959
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,1959
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Maurice Chevalier,1959
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Clark Gable,1959
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cary Grant,1959
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Louis Jourdan,1959
Best Performance by an Actress in a Supporting Role in any Motion Picture,Hermione Gingold,1959
Best Performance by an Actress in a Supporting Role in any Motion Picture,Maureen Stapleton,1959
Best Performance by an Actress in a Supporting Role in any Motion Picture,Cara Williams,1959
Best Performance by an Actress in a Supporting Role in any Motion Picture,Peggy Cass,1959
Best Performance by an Actress in a Supporting Role in any Motion Picture,Wendy Hiller,1959
Best Performance by an Actor in a Supporting Role in any Motion Picture,Burl Ives,1959
Best Performance by an Actor in a Supporting Role in any Motion Picture,Harry Guardino,1959
Best Performance by an Actor in a Supporting Role in any Motion Picture,David Ladd,1959
Best Performance by an Actor in a Supporting Role in any Motion Picture,Gig Young,1959
Best Performance by an Actor in a Supporting Role in any Motion Picture,Efrem Zimbalist Jr.,1959
Best Director - Motion Picture,Vincente Minnelli,1959
Best Director - Motion Picture,Richard Brooks,1959
Best Director - Motion Picture,Stanley Kramer,1959
Best Director - Motion Picture,Delbert Mann,1959
Best Director - Motion Picture,Robert Wise,1959
Cecil B. deMille Award,Maurice Chevalier,1959
Picture - Musical,Gigi,1959
Picture - Musical,Damn Yankees,1959
Picture - Musical,Tom Thumb,1959
